"PGM_SYS_ACRNM","PGM_SYS_ID","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC","STATE_CODE"
"RCRAINFO","SCD981752017","34.29488","-79.88748","REGION04","ADDRESS MATCHING-HOUSE NUMBER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD982166985","34.04009","-80.99836","REGION04","ADDRESS MATCHING-HOUSE NUMBER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD981477573","32.895324","-80.015039","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCR000788075","34.951671","-81.062557","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000007344","34.691517","-82.51317","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987596277","33.705628","-79.448084","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000779140","32.731146","-79.974255","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987588266","34.68962","-82.943637","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCR000075895","33.271101","-80.569089","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982131203","34.473044","-82.432668","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SC0000105783","33.964643","-81.234073","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD987591823","33.558","-81.711853","RCRAINFO","GDT-ADDRESS MATCHING (GEOCODING)","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"RCRAINFO","SCD982078172","34.63884","-83.04919","REGION04","ADDRESS MATCHING-HOUSE NUMBER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD981480098","33.971475","-80.957078","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD991289695","34.923352","-81.869591","COMMERCIAL VENDOR","ADDRESS MATCHING-DIGITIZED","2000","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCR000003251","35.08011","-81.61081","REGION04","ADDRESS MATCHING-HOUSE NUMBER","0","","WGS84","OTHER FEDERAL AGENCY","SC"
"RCRAINFO","SCD987581378","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD987597176","33.981567","-80.956295","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987571551","33.95","-81.05","RCRIS","","","","","REGULATED ENTITY","SC"
"RCRAINFO","SCD982116758","34.054931","-80.94804","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD987579000","34.974928","-82.429788","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD982171597","34.887467","-82.405864","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
"RCRAINFO","SCD981467962","34.965061","-81.922395","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD27","CONTRACTOR","SC"
